region,urban_rural,label,coef,ci_low,ci_high,p_value,n,r2
Northeast,Urban,Northeast — Urban,-1.296402901478025,-1.6512595164929063,-0.9415462864631438,8.046235173294017e-13,1022,0.261
Northeast,Rural,Northeast — Rural,-1.8783121891276153,-3.4361601511667006,-0.32046422708853006,0.01812046454467231,130,0.228
Midwest,Urban,Midwest — Urban,-1.1794233069571942,-1.458004241218448,-0.9008423726959405,1.059983243179211e-16,1537,0.252
Midwest,Rural,Midwest — Rural,-1.2608210909949742,-1.7714837032336175,-0.7501584787563308,1.3040723438933158e-06,430,0.214
West,Urban,West — Urban,-1.274829249533054,-1.531340777640168,-1.01831772142594,2.0202070306424754e-22,1408,0.231
West,Rural,West — Rural,-0.8174804601787795,-1.674791850088293,0.03983092973073399,0.06163624083756606,175,0.2
South,Urban,South — Urban,-1.104588296236377,-1.2966080823369492,-0.912568510135805,1.751004306849222e-29,2566,0.236
South,Rural,South — Rural,-0.7875199793204994,-1.1064963899744185,-0.4685435686665803,1.3052709357759867e-06,767,0.291
