label,coef,ci_low,ci_high,p_value,significant
Father in household (ever),-0.32684722521623205,-0.5609343153930264,-0.0927601350394377,0.006207284077721704,True
Female,-0.15112940062529204,-0.35130447460788716,0.049045673357303116,0.13894115496516896,False
Birth order,-0.07597309437276235,-0.16977524873866584,0.017829059993141147,0.11241486732133597,False
Mother's education (grades),-0.0747121935674394,-0.12143591749194348,-0.027988469642935318,0.0017242755182024616,True
Mother's age at birth,-0.021429820874464184,-0.07029378759026297,0.027434145841334613,0.3900297604565638,False
Hispanic,-0.006382653723174736,-0.2845721052612914,0.2718067978149419,0.9641323909099102,False
Birth year,0.06456544633954313,0.019872441323456308,0.10925845135562995,0.004633767087134686,True
Black,0.6347092824215002,0.3897493765379708,0.8796691883050295,3.806025756048133e-07,True
