child_id,mother_id,race_code,sex_code,birth_month,birth_year,birth_order,mother_age_at_birth,highest_grade_category,highest_degree_code,has_ged,has_hs_diploma,has_associates,has_ba,has_bs,has_masters,has_phd,has_professional_degree,snap_1994,snap_1996,snap_1998,snap_2000,snap_2002,snap_2004,snap_2006,snap_2008,snap_2010,snap_2012,snap_2014,snap_2016,snap_2018,tanf_afdc_1994,tanf_afdc_1996,tanf_afdc_1998,tanf_afdc_2000,tanf_afdc_2002,tanf_afdc_2004,tanf_afdc_2006,tanf_afdc_2008,tanf_afdc_2010,tanf_afdc_2012,tanf_afdc_2014,tanf_afdc_2016,tanf_afdc_2018,mother_educ_1979,mother_educ_1994,mother_educ_2006,mother_educ_2006_revised,mother_educ_2008,mother_educ_2012,father_in_hh_1994,father_in_hh_1996,father_in_hh_1998,father_in_hh_2000,father_in_hh_2002,father_in_hh_2004,father_in_hh_2006,race,sex,female,valid_snap_waves,valid_tanf_afdc_waves,snap_wave_count,tanf_afdc_wave_count,any_snap,any_tanf_afdc,exposure_group,hs_or_more_from_grade,associate_or_more_from_grade,bachelors_or_more_from_grade,hs_or_more_from_degree,associate_or_more_from_degree,bachelors_or_more_from_degree,mother_educ_latest,mother_educ_baseline_1979,valid_father_hh_waves,father_in_hh_wave_count,father_in_hh_any,region,urban_rural,ppvt_avg,math_avg,ppvt_earliest,math_earliest,ever_worked,avg_earn_per_wk,avg_work_freq
1001,10,3,2.0,1.0,1983,1,22.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,9.0,9.0,,,,,1.0,,,,,,1.0,"Non-Black, Non-Hispanic",Female,1.0,4,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,2,2,1.0,South,Urban,88.5,29.333333333333332,64.0,13.0,,,
1002,10,3,2.0,7.0,1988,2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,1.0,,,,,,,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,9.0,9.0,1,1,1.0,,,53.0,17.0,53.0,17.0,,,
1201,12,3,1.0,10.0,1989,1,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,16.0,,,,,1.0,,,,,,1.0,"Non-Black, Non-Hispanic",Male,0.0,0,0,0,0,,,,,,,,,,16.0,13.0,2,2,1.0,,,63.0,12.0,63.0,12.0,,,
1202,12,3,1.0,8.0,1993,2,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,16.0,,,,,1.0,,,,,,1.0,"Non-Black, Non-Hispanic",Male,0.0,0,0,0,0,,,,,,,,,,16.0,13.0,2,2,1.0,,,,,,,,,
1601,16,3,1.0,2.0,1990,1,31.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,12.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Male,0.0,5,0,0,0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,13.0,12.0,7,7,1.0,Northeast,Urban,82.5,44.6,60.0,22.0,0.0,,
1602,16,3,1.0,8.0,1993,2,34.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,12.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Male,0.0,3,1,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,13.0,12.0,7,7,1.0,Northeast,Urban,68.5,38.5,34.0,17.0,1.0,,1.0
1603,16,3,2.0,9.0,1996,3,37.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,12.0,13.0,13.0,13.0,13.0,13.0,,,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,2,1,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,13.0,12.0,5,5,1.0,Northeast,Urban,49.5,29.6,2.0,18.0,1.0,3000.0,2.0
1901,19,3,2.0,11.0,1987,1,29.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,12.0,12.0,12.0,12.0,,,0.0,,0.0,,,,1.0,"Non-Black, Non-Hispanic",Female,1.0,1,1,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,3,1,1.0,Northeast,Urban,91.5,30.0,85.0,18.0,,,
2001,20,3,2.0,8.0,1990,1,30.0,8.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,13.0,16.0,16.0,17.0,16.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,5,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,17.0,13.0,7,7,1.0,Northeast,Urban,86.5,44.8,54.0,17.0,0.0,,
2501,25,3,1.0,10.0,1990,1,30.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,13.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Male,0.0,5,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,14.0,13.0,7,7,1.0,Northeast,Urban,71.5,43.6,35.0,15.0,0.0,,
